連番,法人番号,処理区分,訂正区分,更新年月日,変更年月日,商号又は名称,商号又は名称イメージID,種別,国内所在地_都道府県コード,国内所在地_市区町村コード,国内所在地_町又は大字,国内所在地イメージID,都道府県名,市区町村名,丁目番地等,国外所在地,国外所在地イメージID,国外所在地英語,廃業等事由,廃業等年月日,承継先法人番号,変更事由詳細,指定年月日,最新履歴,ふりがな,検索対象除外
1,1234567890123,01,0,2024-01-01,2024-01-01,株式会社堺商事,,101,27,27141,堺区南瓦町,0,大阪府,堺市堺区,3-1,,,,,,,,2020-04-01,1,さかいしょうじ,0
2,2345678901234,01,0,2024-01-01,2024-01-01,有限会社田中建設,,201,27,27141,堺区新町,0,大阪府,堺市堺区,5-10,,,,,,,,2018-06-15,1,たなかけんせつ,0
3,3456789012345,01,0,2024-01-01,2024-01-01,鈴木工業株式会社,,101,27,27142,中区深井北町,0,大阪府,堺市中区,1-2-3,,,,,,,,2015-09-01,1,すずきこうぎょう,0
4,4567890123456,01,0,2024-01-01,2024-01-01,合同会社大阪ロジスティクス,,303,27,27143,東区日置荘西町,0,大阪府,堺市東区,2-5,,,,,,,,2019-03-20,1,おおさかろじすてぃくす,0
5,5678901234567,01,0,2024-01-01,2024-01-01,堺クリニック医療法人,,501,27,27144,西区浜寺元町,0,大阪府,堺市西区,3-10-5,,,,,,,,2010-07-01,1,さかいくりにっく,0
6,6789012345678,01,0,2024-01-01,2024-01-01,南大阪不動産株式会社,,101,27,27145,南区桃山台,0,大阪府,堺市南区,1-1,,,,,,,,2012-02-14,1,みなみおおさかふどうさん,0
7,7890123456789,01,0,2024-01-01,2024-01-01,株式会社北堺フード,,101,27,27146,北区百舌鳥梅町,0,大阪府,堺市北区,2-8,,,,,,,,2016-11-30,1,きたさかいふーど,0
8,8901234567890,01,0,2024-01-01,2024-01-01,美原電気工事株式会社,,101,27,27147,美原区黒山,0,大阪府,堺市美原区,315,,,,,,,,2013-04-05,1,みはらでんきこうじ,0
9,9012345678901,01,0,2024-01-01,2024-01-01,株式会社堺ITソリューションズ,,101,27,27141,堺区甲斐町東,0,大阪府,堺市堺区,1-4-2,,,,,,,,2021-08-01,1,さかいあいてぃそりゅーしょんず,0
10,0123456789012,01,0,2024-01-01,2024-01-01,山田運送有限会社,,201,27,27142,中区東八田,0,大阪府,堺市中区,3-22,,,,,,,,2009-01-15,1,やまだうんそう,0
11,1357924680135,01,0,2024-01-01,2024-01-01,堺市民病院医療法人,,501,27,27143,東区南野田,0,大阪府,堺市東区,1-1-1,,,,,,,,2005-04-01,1,さかいしみんびょういん,0
12,2468013579246,01,0,2024-01-01,2024-01-01,西堺製作所株式会社,,101,27,27144,西区鳳北町,0,大阪府,堺市西区,4-3,,,,,,,,2017-07-07,1,にしさかいせいさくしょ,0
13,3579124680357,01,0,2024-01-01,2024-01-01,南区学習塾エデュケア,,900,27,27145,南区若松台,0,大阪府,堺市南区,2-5-10,,,,,,,,2020-09-01,1,えでゅけあ,0
14,4680235791468,01,0,2024-01-01,2024-01-01,株式会社堺卸売センター,,101,27,27146,北区蔵前町,0,大阪府,堺市北区,1-20,,,,,,,,2011-05-01,1,さかいおろしうりせんたー,0
15,5791346802579,01,0,2024-01-01,2024-01-01,美原農業協同組合,,499,27,27147,美原区多治井,0,大阪府,堺市美原区,78,,,,,,,,2000-01-01,1,みはらのうきょう,0
16,6802457913680,01,0,2024-01-01,2024-01-01,堺観光ホテル株式会社,,101,27,27141,堺区向陵西町,0,大阪府,堺市堺区,4-2,,,,,,,,2014-12-01,1,さかいかんこうほてる,0
17,7913568024791,01,0,2024-01-01,2024-01-01,合資会社中区金融サービス,,302,27,27142,中区毛穴町,0,大阪府,堺市中区,6-1,,,,,,,,2008-03-01,1,ちゅうくきんゆうさーびす,0
18,8024679135802,01,0,2024-01-01,2024-01-01,東堺社会福祉法人,,502,27,27143,東区白鷺町,0,大阪府,堺市東区,3-3-3,,,,,,,,2003-07-01,1,ひがしさかいしゃかいふくし,0
19,9135780246913,01,0,2024-01-01,2024-01-01,堺小売チェーン株式会社,,101,27,27144,西区津久野町,0,大阪府,堺市西区,2-9,,,,,,,,2022-01-20,1,さかいこうりちぇーん,0
20,0246891357024,01,0,2024-01-01,2024-01-01,株式会社南堺通信,,101,27,27145,南区原山台,0,大阪府,堺市南区,5-1,,,,,,,,2019-06-01,1,みなみさかいつうしん,0
